"`project_id`","`max_followers`"
"9160279","15"
"9232309","260"
"9240557","18"
"9245754","5"
"9255018","19"
"9343717","114"
"9352549","14"
"9356105","49"
"9358405","4"
"9380376","4"
"9392393","53"
"9394397","22"
"9464549","1"
"9468307","8"
"9504109","48"
"9511165","158"
"9540082","215"
"9570005","2561"
"9597076","18"
"9600790","8"
"9659919","6"
"9701695","3"
"9703605","20"
"9704915","93"
"9709068","39"
"9709116","44"
"9717218","38"
"9726637","839"
"9745677","11"
"9777067","7"
"9814221","1"
"9817959","18"
"9843828","6"
"9893161","6"
"9895007","44"
"9912292","1"
"9930325","282"
"9975034","1"
"9982219","22"
"9983686","179"
"9995314","36"
"10053600","41"
"10123492","1"
"10125352","85"
"10138664","330"
"10172252","4"
"10188194","163"
"10192555","5"
"10199826","4"
"10233169","698"
"10258995","148"
"10260310","4"
"10260382","1"
"10282819","35"
"10296656","1"
"10410843","15"
"10412281","330"
"10425716","6600"
"10435922","101"
"10447564","47"
"10451754","1036"
"10464490","1667"
"10526188","549"
"10541844","2"
"10585250","50"
"10660095","3"
"10732476","8"
"10733538","13"
"10741429","1"
"10752463","17"
"10773454","50"
"10803994","6"
"10814377","32"
"10819648","453"
"10834528","79"
"10854850","2397"
"10859865","9"
"10910878","210"
"10936889","38"
"10947458","520"
"10956567","6"
"10963081","42"
"11026907","1"
"11066875","44"
"11072255","84"
"11080800","76"
"11095632","2011"
"11120703","107"
"11127510","2"
"11132347","46"
"11173957","27"
"11175147","8"
"11176827","364"
"11182376","230"
"11183490","16"
"11197300","7"
"11228451","124"
"11238565","390"
"11265367","78"
"11291526","87"
"11297052","1"
"11318999","13"
"11323491","110"
"11384611","16"
"11402707","66"
"11453235","238"
"11467831","55"
"11473240","251"
"11512622","201"
"11554847","10"
"11570176","31"
"11588385","82"
"11605642","399"
"11625417","41"
"11662013","17"
"11668604","19"
"11680693","4"
"11698195","1"
"11702237","166"
"11720517","1643"
"11733127","19"
"11746264","1401"
"11761587","293"
"11784159","129"
"11785544","61"
"11802012","1330"
"11850935","125"
"11912097","479"
"11924541","343"
"12192051","1134"
"12197208","45"
